word_id	note_class	page	tteseq	enwk_part_of_speech	tt_param1	seq_in_param1	seq_of_ref	t_aa	t_ab	t_ace	t_acw	t_ady	t_af	t_afb	t_aht	t_aii	t_ain	t_ajp	t_ak	t_akk	t_akl	t_akz	t_ale	t_alt	t_am	t_an	t_ang	t_apc	t_apw	t_ar	t_arc	t_arc_Hebr	t_arc_Syrc	t_arn	t_ary	t_arz	t_as	t_ase	t_ast	t_atv	t_av	t_ay	t_az	t_ba	t_bal	t_ban	t_bar	t_bbl	t_bcl	t_bdr	t_be	t_bg	t_bho	t_bi	t_bn	t_bni	t_bo	t_br	t_bua	t_ca	t_ccc	t_cdo	t_ce	t_ceb	t_cho	t_chr	t_chy	t_cic	t_cjs	t_cjy	t_ckb	t_ckt	t_clt	t_cmn	t_co	t_cop	t_cr	t_crh	t_cs	t_csb	t_csm	t_cu	t_cu_Cyrs	t_cu_Glag	t_cv	t_cy	t_da	t_de	t_dlg	t_dlm	t_dng	t_dsb	t_dtp	t_dv	t_dz	t_ee	t_egl	t_egy	t_el	t_enm	t_eo	t_es	t_esu	t_et	t_eu	t_eve	t_evn	t_ext	t_fa	t_fa-cls	t_fa-ira	t_fi	t_fj	t_fo	t_fr	t_frm	t_fro	t_frp	t_frr	t_fur	t_fy	t_ga	t_gag	t_gan	t_gcf	t_gd	t_gez	t_gl	t_gld	t_goh	t_got	t_grc	t_gsw	t_gu	t_gug	t_gun	t_gur	t_gv	t_ha	t_hak	t_haw	t_he	t_hi	t_hil	t_hrx	t_hsb	t_hsn	t_ht	t_hu	t_hy	t_ia	t_iba	t_id	t_ig	t_ik	t_ill	t_ilo	t_inh	t_io	t_is	t_ist	t_it	t_iu	t_izh	t_ja	t_jam	t_jje	t_jv	t_ka	t_kaa	t_kab	t_kam	t_kaw	t_kbd	t_kea	t_kg	t_khb	t_ki	t_kix	t_kjh	t_kk	t_kl	t_km	t_kmr	t_kn	t_ko	t_koi	t_kok	t_kpv	t_krc	t_krl	t_ks	t_kum	t_kw	t_kxd	t_ky	t_la	t_lad	t_lb	t_lbe	t_lez	t_lg	t_li	t_lij	t_liv	t_lkt	t_lld	t_lmo	t_ln	t_lo	t_lou	t_lt	t_ltg	t_luo	t_lus	t_lut	t_luy	t_lv	t_lzz	t_mba	t_mdf	t_mdh	t_mel	t_mer	t_mfe	t_mg	t_mh	t_mhn	t_mhr	t_mi	t_mic	t_min	t_mk	t_ml	t_mn	t_mn_Cyrl	t_mn_Mong	t_mnc	t_mnp	t_mns-nor	t_mnw	t_mos	t_mr	t_mrj	t_mrw	t_ms	t_ms_Arab	t_ms_Latn	t_msk	t_mt	t_mwl	t_mww	t_my	t_myv	t_mzn	t_nah	t_nan-hbl	t_nap	t_nb	t_nci	t_nds	t_nds-de	t_nds-nl	t_ne	t_new	t_ngh	t_niv	t_njo-jgl	t_nl	t_nmn	t_nn	t_no	t_nod	t_nog	t_non	t_nrf	t_nv	t_ny	t_oc	t_oj	t_om	t_or	t_orv	t_os	t_osx	t_ota	t_otk	t_ovd	t_pa	t_pa_Aran	t_pa_Guru	t_pag	t_pal	t_pam	t_pap	t_pcd	t_pdc	t_pdt	t_pi	t_pjt	t_pl	t_pms	t_pnb	t_pon	t_pox	t_prg	t_pro	t_prs	t_ps	t_pt	t_pt-BR	t_pt-PT	t_qu	t_rap	t_rar	t_rcf	t_rgn	t_rhg	t_rif	t_rm	t_ro	t_roa-opt	t_roa-tar	t_rom	t_rsk	t_ru	t_rue	t_rup	t_ruq	t_rw	t_ryu	t_sa	t_sah	t_sat	t_sc	t_sc-src	t_sc-sro	t_scn	t_sco	t_sd	t_sdc	t_sdh	t_sdn	t_se	t_sga	t_sgs	t_sh	t_sh_Cyrl	t_sh_Latn	t_shi	t_shn	t_si	t_sid	t_sip	t_sjd	t_sk	t_sl	t_sm	t_sma	t_smj	t_smn	t_sms	t_sn	t_sne	t_so	t_sq	t_srn	t_st	t_stq	t_su	t_sux	t_sv	t_sva	t_sw	t_swb	t_syc	t_syl	t_szl	t_ta	t_taa	t_tab	t_te	t_tet	t_tft	t_tg	t_th	t_ti	t_tk	t_tl	t_tly	t_tn	t_to	t_tpi	t_tpw	t_tr	t_tsg	t_tt	t_ttj	t_ttt	t_tum	t_twf	t_txb	t_ty	t_tyv	t_tyz	t_tzm	t_udi	t_udm	t_ug	t_uga	t_uk	t_unm	t_ur	t_uz	t_uz_Cyrl	t_vec	t_vep	t_vi	t_vls	t_vo	t_vot	t_vro	t_wa	t_wal	t_war	t_win	t_wmw	t_wo	t_wuu	t_wyi	t_wym	t_xag	t_xal	t_xcl	t_xdq	t_xh	t_xmf	t_yag	t_yai	t_yi	t_yo	t_yua	t_yue	t_za	t_zdj	t_zea	t_zh	t_zlw-ocs	t_zu	t_zza
DIB0052780	C	sticky	1	Adjective	able or likely to stick	1	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	Y	N	Y	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	Y	N	N	N	Y	N	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	Y	N	N	N	N	N	N	Y	N	Y	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N
DIB0063115	C	birth	2	Noun	instance of childbirth	1	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	Y	N	N	N	N	N	N	Y	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DIB0071195	C	next	3	Adjective	nearest date, time, space or order	1	1	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	Y	N	Y	Y	N	N	N	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N
DIB0075192	C	chicken	2	Noun	meat	1	1	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	Y	N	N	N	Y	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	Y	N	Y	Y	N	Y	N	N	N	N	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	Y	N	N	Y	N	N	N	N	N	Y	N	N	Y	N	N	Y	N	N	N	Y	N	Y	N	N	N	N	N	N	N	Y	Y	N	Y	Y	N	Y	Y	N	N	N	N	N	N	Y	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	Y	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	Y	N	Y	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N
DIB0076017	C	can	5	Noun	a tin-plate canister	1	1	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N
DIB0081293	C	apprentice	1	Noun	trainee, especially in a skilled trade	1	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N	N	N	N	N	Y	N	N	Y	N	Y	N	N	N	N	N	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	Y	Y	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	Y	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N
DIB0082045	C							N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DIB0090028	C	expect	2	Verb	to consider obligatory	1	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DIB0093130	C	strawberry	1	Noun	accessory fruit	1	1	N	Y	N	Y	N	Y	N	N	Y	Y	Y	N	N	N	N	Y	Y	Y	N	Y	N	N	Y	N	N	N	N	Y	Y	N	N	Y	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	Y	N	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	Y	Y	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N	N	N	N	N	Y	Y	Y	Y	N	Y	Y	N	N	N	Y	N	N	Y	N	Y	Y	N	N	N	N	Y	Y	Y	N	N	N	Y	N	Y	N	N	N	N	N	Y	N	N	N	Y	N	Y	Y	Y	Y	N	Y	Y	N	Y	Y	Y	N	N	Y	N	N	N	N	N	Y	Y	N	Y	N	N	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	Y	Y	Y	N	N	N	N	Y	N	N	Y	N	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	Y	N	Y	N	Y	Y	N	N	N	N	Y	N	N	N	N	N	N	Y	Y	N	Y	N	Y	Y	N	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	Y	N	N	Y	N	N	N	Y	N	Y	N	Y	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	Y	Y	Y	Y	Y	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	Y	Y	N	N	N	Y	Y	N	Y	N	Y	N	N	N	N	Y	N	N	N	N	Y	N	N	N	Y	N	N	N	Y	Y	N	N	Y	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	Y	N	Y	N	N	N	Y	Y	Y	N	N	N	N	Y	N	N	Y	Y	N	Y	Y	Y	N	Y	N	N	Y	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	Y	Y	Y	N	N	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	Y	N	N	Y	Y	N	N	N	N	Y	N
DIB0094964	C	yourself	1	Pronoun	(reflexive) your own self	1	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	Y	N	N	N	Y	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DIB0095927	C	unmask	2	Verb	to expose the true character of someone	1	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DIB0096546	C	hurt	1	Verb	to be painful, to ache	1	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	N	Y	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	Y	N	Y	N	N	N	N	N	N	Y	N	Y	Y	N	Y	Y	N	N	N	Y	N	N	Y	N	N	Y	N	N	N	N	Y	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	Y	N	N	Y	Y	N	N	Y	N	N	N	N	N	Y	Y	N	Y	N	N	Y	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	N	Y	Y	N	N	N	N	Y	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	Y	Y	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N
